ID,Nombre,Apellido,Fecha de Nacimiento,Género,Dirección,Teléfono,Correo Electrónico,Puesto,Departamento,Fecha de Contratación,Tipo de Contrato,Turno de Trabajo,Supervisor,Estado de Empleo
1,Kathy,Hahn,1987-04-23,Femenino,"16008 Ronnie Street Suite 409
West Juanbury, HI 95313",573.289.6692x9456,katie02@example.com,"Engineer, control and instrumentation",Producción,2020-06-17,Temporal,Nocturno,Shelby Camacho,Retirado
2,Jesus,Evans,1977-06-02,Femenino,"58173 Anderson Pass
Nathanton, DE 22760",387.391.9302x042,barrettlawrence@example.com,Local government officer,Mantenimiento,2017-11-12,A tiempo parcial,Diurno,Derrick Knox,Retirado
3,Michael,Moore,1960-05-04,Masculino,"266 Timothy Inlet
North Craig, MH 84239",(263)712-3947x973,amberjones@example.com,Adult nurse,Logística,2019-02-18,Permanente,Nocturno,Mark Mejia,Retirado
4,Roger,Reed,1993-12-28,Femenino,"874 Julie Station
Sheppardton, TX 22366",(481)224-4120x6705,brooksshawn@example.net,Estate manager/land agent,Mantenimiento,2014-07-05,Temporal,Diurno,Tammie Shaw,Retirado
5,Peter,Baker,1974-01-30,Masculino,"3407 Jennifer Wall Suite 812
Warnermouth, AL 31939",663.770.3908x15692,brittanyjames@example.com,Quantity surveyor,Mantenimiento,2016-12-21,A tiempo parcial,Diurno,Kelly Miller,Activo
6,David,Harris,1987-04-26,Masculino,"8017 Alicia Lock Apt. 499
Port Jesus, NH 65034",348-370-7476x901,darren47@example.org,"Producer, television/film/video",Mantenimiento,2015-09-02,Temporal,Diurno,Dawn Shaw,En licencia
7,Robert,Harris,2000-10-17,Femenino,"6266 Smith Shoal
Greermouth, AZ 53176",881.993.2486x403,scottmary@example.com,"Engineer, automotive",Calidad,2022-06-22,A tiempo parcial,Diurno,James Schmidt,Activo
8,Steven,Robinson,1970-06-16,Masculino,"88765 Diaz Expressway Suite 739
Hornfort, WY 97995",001-959-930-2184x7548,herreracameron@example.com,Advertising art director,Logística,2016-08-24,A tiempo parcial,Rotativo,Stephanie Goodman,Activo
9,Kathleen,Cox,1980-10-24,Femenino,"52888 Long Place
Richardland, AK 27638",698.508.3601x98778,janetjordan@example.org,Health promotion specialist,Administración,2015-10-12,Permanente,Nocturno,Rebecca Hill,Activo
10,John,Medina,1973-06-19,Masculino,"946 Morales Canyon
Lake Christinaville, KS 16785",900-839-6825,kari16@example.net,General practice doctor,Producción,2023-09-10,Permanente,Rotativo,Isaac White,Activo
11,Jessica,Robinson,1960-08-12,Femenino,"98009 Joshua Fields
South Amy, SC 92801",(404)928-9434x1166,christopher73@example.org,Web designer,Calidad,2017-10-13,Permanente,Diurno,Erin Caldwell,Retirado
12,Alexa,Chaney,1997-02-17,Masculino,"Unit 6873 Box 1551
DPO AA 74902",263-888-8303,lcrane@example.com,"Teacher, special educational needs",Logística,2024-05-22,A tiempo parcial,Rotativo,Greg Smith,Retirado
13,Charles,Matthews,1982-12-15,Masculino,"1955 Melissa Burg Apt. 905
Clarkview, AS 62655",001-386-286-0365x14817,mackenziebrowning@example.net,Occupational hygienist,Calidad,2023-03-28,A tiempo parcial,Diurno,Henry Anthony,Retirado
14,Anna,Hill,1985-11-16,Femenino,"3709 Hill Meadow
East Martha, OH 86110",+1-667-297-2452,elainebonilla@example.com,Special educational needs teacher,Administración,2018-08-08,Permanente,Nocturno,Jamie Phelps,En licencia
15,Allison,Stanton,1963-09-09,Masculino,"4748 Chung Village Apt. 735
Mcbrideland, CO 10219",(275)731-6426x412,cashley@example.com,"Accountant, chartered management",Mantenimiento,2022-02-04,A tiempo parcial,Rotativo,Curtis Gonzalez,En licencia
16,Kevin,Flores,1994-07-25,Masculino,"439 Mccoy Ridge Apt. 235
Gregoryberg, TX 84750",(580)319-0949,bethanyparker@example.org,"Physicist, medical",Calidad,2015-03-02,Permanente,Nocturno,Charles James,En licencia
17,Valerie,Hoffman,1994-10-27,Femenino,"310 Clay Route
Reyesborough, IL 34277",001-325-206-0525x900,anthony15@example.org,"Surveyor, minerals",Administración,2014-10-25,Temporal,Diurno,Kimberly Taylor,En licencia
18,Brandon,Cooper,1971-06-03,Femenino,"7919 Johnson Wells
West Brittney, ME 50022",+1-284-813-0040x452,novaksuzanne@example.com,Race relations officer,Calidad,2018-08-06,Temporal,Nocturno,George Yang,Retirado
19,Emily,Jones,2003-07-09,Femenino,"4676 Hernandez Port
Joneston, NM 82546",(276)953-6016x23935,omiller@example.org,Geographical information systems officer,Mantenimiento,2016-10-08,A tiempo parcial,Rotativo,Christopher Warren,Retirado
20,Deborah,Shannon,1993-04-19,Femenino,"USS Ortiz
FPO AA 62214",674-528-2764x762,matthew02@example.net,Intelligence analyst,Mantenimiento,2015-01-14,Temporal,Nocturno,Zachary Walter,Activo
21,Lori,Rich,1990-12-29,Masculino,"3821 Darryl Road
South Ashley, SC 92342",494-272-0133x8036,brandi37@example.net,Air cabin crew,Producción,2014-10-08,A tiempo parcial,Nocturno,Anthony Flores,Retirado
22,Chad,Robertson,1968-10-13,Femenino,"13869 Curtis Circles
Adamshire, AR 80780",460.988.7263,mullinsmadeline@example.com,Insurance account manager,Logística,2019-04-26,A tiempo parcial,Rotativo,Kiara Avila,Activo
23,Karen,Blankenship,1966-06-28,Masculino,"3724 Jennifer Greens Suite 520
New Jessica, MA 45686",001-504-329-0890x785,paulagreen@example.org,Call centre manager,Producción,2015-09-17,Temporal,Diurno,Nicole Briggs,Retirado
24,David,Carrillo,2002-09-24,Femenino,"74378 Fernandez Mission Suite 976
New Jeffrey, TN 74715",+1-914-442-8221,elliottandrew@example.com,Risk analyst,Administración,2016-06-09,A tiempo parcial,Nocturno,Nathaniel Collins,Retirado
25,Rick,Davis,1999-12-16,Masculino,"534 Ayala Green Apt. 005
Lake Jennifer, VT 14207",001-728-411-5378,april62@example.org,Marketing executive,Mantenimiento,2023-08-15,Permanente,Nocturno,Mary Hall,Retirado
26,Steven,Wilson,1967-10-25,Masculino,"44476 Obrien Islands Suite 212
Meganmouth, FM 00996",748.680.6534x2238,mirandacaitlin@example.net,Museum education officer,Logística,2019-08-31,A tiempo parcial,Diurno,Emily Huerta,Retirado
27,Howard,Marshall,1985-02-09,Femenino,"10906 Harris Glens Suite 502
West Kristi, KY 21535",264.335.5887,vfrank@example.com,Counselling psychologist,Administración,2020-10-21,Temporal,Rotativo,Richard Stone,En licencia
28,Steven,Smith,1971-04-25,Femenino,"5904 Jerry Forges Suite 679
Wiseside, TX 74810",001-688-765-0182x2224,daniel43@example.com,Futures trader,Administración,2015-04-08,Permanente,Diurno,Christopher Bradford,En licencia
29,Tyler,Mann,2000-10-15,Femenino,"4891 Collins Road Apt. 415
Lake Alvinville, NM 59009",615-359-3232x925,reevesmeredith@example.org,Video editor,Producción,2016-05-09,Permanente,Rotativo,Daisy Rogers,En licencia
30,Stephanie,Lawrence,1983-04-21,Femenino,"5111 Carlos Extension Suite 527
East Ryantown, NV 25911",(492)547-3902,elizabethross@example.org,Product designer,Producción,2021-11-05,A tiempo parcial,Diurno,Ricardo Robinson,En licencia
