Date,Person,Punctuation,Time_taken
2024-05-31,Juan,84,3.0
2024-06-07,Juan,97,5.0
2024-07-15,Juan,88,6.0
2024-06-02,Juan,95,5.0
2024-08-13,Juan,83,6.0
2024-10-06,Juan,75,8.0
2024-08-23,Juan,94,4.0
2024-05-30,Juan,71,3.0
2024-03-17,Juan,79,1.0
2024-09-15,Juan,94,7.0
2024-09-15,Juan,86,3.0
2024-06-26,Juan,91,2.0
2024-12-12,Juan,99,3.0
2024-11-20,Juan,84,8.0
2024-06-30,Juan,84,7.0
2024-10-01,Juan,86,7.0
2024-06-29,Juan,81,7.0
2024-11-07,Juan,88,3.0
2024-06-09,Juan,76,7.0
2024-12-26,Juan,82,7.0
2024-06-04,Juan,100,4.0
2024-12-02,Juan,90,3.0
2024-03-26,Juan,81,3.0
2024-06-19,Juan,75,6.0
2024-07-12,Juan,81,1.0
2024-07-05,Juan,85,7.0
2024-09-18,Juan,77,6.0
2024-05-31,Juan,80,7.0
2024-11-19,Juan,77,3.0
2024-02-11,Juan,98,3.0
2024-11-10,Juan,100,5.0
2024-07-06,Juan,78,3.0
2024-09-30,Juan,97,1.0
2024-03-06,Juan,93,4.0
2024-08-22,Juan,75,4.0
2024-10-24,Juan,93,7.0
2024-10-27,Juan,74,3.0
2024-10-30,Juan,94,3.0
2024-08-24,Juan,95,4.0
2024-11-07,Juan,98,7.0
2024-12-21,Juan,100,8.0
2024-10-05,Juan,74,4.0
2024-02-21,Juan,97,3.0
2024-09-25,Juan,82,5.0
2024-10-20,Juan,92,6.0
2024-04-20,Juan,96,5.0
2024-06-06,Juan,91,6.0
2024-03-19,Juan,80,3.0
2024-12-28,Juan,95,8.0
2024-12-29,Juan,84,5.0
2024-03-13,Juan,81,1.0
2024-12-03,Juan,93,4.0
2024-01-02,Juan,96,1.0
2024-11-09,Juan,83,4.0
2024-10-30,Juan,91,3.0
2024-12-24,Juan,82,7.0
2024-09-11,Juan,89,2.0
2024-02-04,Juan,88,2.0
2024-01-14,Juan,89,8.0
2024-03-29,Juan,87,5.0
2024-03-09,Juan,98,4.0
2024-04-11,Juan,85,8.0
2024-10-25,Juan,98,5.0
2024-10-26,Juan,98,6.0
2024-07-16,Juan,75,4.0
2024-07-13,Juan,98,5.0
2024-10-28,Juan,99,5.0
2024-08-15,Juan,71,7.0
2024-12-23,Juan,88,8.0
2024-12-12,Juan,76,5.0
2024-10-26,Juan,84,7.0
2024-10-05,Juan,72,5.0
2024-10-25,Juan,100,5.0
2024-08-29,Juan,78,1.0
2024-08-07,Juan,93,6.0
2024-12-10,Juan,93,4.0
2024-06-20,Juan,70,1.0
2024-10-19,Juan,72,6.0
2024-03-29,Juan,90,3.0
2024-02-26,Juan,71,3.0
2024-09-24,Juan,72,1.0
2024-11-17,Juan,80,7.0
2024-03-29,Juan,82,5.0
2024-07-13,Juan,90,3.0
2024-02-13,Juan,92,5.0
2024-02-09,Juan,96,7.0
2024-06-23,Juan,99,1.0
2024-05-20,Juan,98,8.0
2024-12-05,Juan,82,1.0
2024-12-06,Juan,92,4.0
2024-10-25,Juan,76,5.0
2024-08-08,Juan,74,1.0
2024-03-16,Juan,93,5.0
2024-08-31,Juan,78,1.0
2024-12-28,Juan,97,7.0
2024-07-03,Juan,95,6.0
2024-10-18,Juan,95,5.0
2024-02-09,Juan,100,1.0
2024-02-07,Juan,79,2.0
2024-12-21,Juan,75,1.0
2024-08-18,María,89,4.0
2024-07-28,María,72,4.0
2024-08-18,María,85,7.0
2024-07-06,María,95,3.0
2024-04-15,María,82,6.0
2024-04-06,María,74,2.0
2024-09-02,María,82,2.0
2024-12-06,María,80,6.0
2024-11-17,María,72,1.0
2024-12-24,María,96,2.0
2024-04-22,María,84,3.0
2024-10-25,María,87,3.0
2024-04-11,María,91,1.0
2024-12-20,María,90,6.0
2024-02-14,María,90,7.0
2024-08-11,María,75,8.0
2024-07-19,María,96,3.0
2024-03-30,María,70,5.0
2024-01-02,María,94,1.0
2024-09-18,María,100,8.0
2024-08-10,María,92,8.0
2024-08-11,María,94,3.0
2024-10-03,María,91,5.0
2024-04-09,María,77,3.0
2024-12-25,María,98,5.0
2024-11-07,María,97,4.0
2024-02-06,María,73,4.0
2024-03-16,María,85,2.0
2024-12-22,María,72,5.0
2024-10-19,María,91,3.0
2024-08-20,María,77,3.0
2024-07-31,María,75,7.0
2024-10-11,María,80,6.0
2024-01-15,María,85,7.0
2024-12-17,María,92,6.0
2024-01-01,María,98,2.0
2024-09-23,María,97,4.0
2024-03-14,María,78,6.0
2024-06-19,María,71,6.0
2024-07-13,María,97,6.0
2024-07-04,María,92,1.0
2024-12-06,María,70,7.0
2024-10-13,María,87,3.0
2024-02-03,María,96,7.0
2024-11-09,María,70,7.0
2024-10-27,María,92,4.0
2024-07-25,María,73,3.0
2024-11-20,María,70,7.0
2024-03-06,María,78,6.0
2024-07-12,María,81,1.0
2024-05-25,María,89,2.0
2024-09-20,María,92,5.0
2024-12-11,María,73,6.0
2024-10-29,María,97,4.0
2024-05-01,María,97,8.0
2024-08-29,María,79,7.0
2024-06-09,María,89,1.0
2024-08-30,María,97,4.0
2024-10-22,María,86,5.0
2024-11-02,María,88,5.0
2024-05-28,María,96,7.0
2024-01-25,María,94,4.0
2024-05-06,María,78,3.0
2024-02-14,María,77,1.0
2024-03-28,María,77,1.0
2024-03-01,María,77,1.0
2024-06-25,María,83,6.0
2024-04-20,María,78,3.0
2024-05-07,María,91,4.0
2024-10-31,María,82,4.0
2024-09-28,María,70,7.0
2024-09-26,María,91,6.0
2024-12-01,María,75,2.0
2024-07-19,María,88,5.0
2024-04-02,María,75,2.0
2024-07-24,María,80,6.0
2024-10-16,María,93,4.0
2024-11-02,María,84,2.0
2024-10-22,María,83,7.0
2024-10-11,María,73,3.0
2024-05-24,María,72,7.0
2024-01-15,María,92,2.0
2024-06-21,María,91,8.0
2024-11-05,María,83,7.0
2024-04-04,María,75,3.0
2024-07-13,María,87,4.0
