ID,Nombre,Apellido,Fecha de Nacimiento,Género,Dirección,Teléfono,Correo Electrónico,Puesto,Departamento,Fecha de Contratación,Tipo de Contrato,Turno de Trabajo,Supervisor,Estado de Empleo
1,Samantha,Mendoza,1995-05-14,Femenino,"5970 Brown Forges
North Johnshire, ME 23330",+1-982-895-0673,elizabeth97@example.org,"Production assistant, radio",caLIdAD,2017-05-10,peRMAnENte,NOCTuRNO,Tina Bailey,aCTivo
2,Jeffrey,Anderson,1970-12-11,Femenino,"7757 Anderson Bridge Apt. 947
South Jamesborough, NE 29077",(523)736-4260x1778,jrivera@example.com,"Secretary, company",PRoDuCCióN,2017-01-30,pERManEntE,DIURno,Kristi Harris,en liCeNciA
3,Daniel,Parker,1971-05-21,Masculino,"56181 Thompson Spurs Apt. 241
Brownfurt, IL 22109",8086767482,jonesnancy@example.org,Quality manager,proDUCcIón,2018-02-10,a TIEMpo PaRCiAL,diUrno,Richard Williams,EN LIceNCIA
4,Penny,Miller,1962-01-20,Femenino,"005 Schneider Cliff
Melindamouth, MD 02229",(525)363-3564x8948,andrew68@example.org,Training and development officer,administrAcióN,2018-09-24,A tieMPO PaRCIaL,nOCTuRnO,Emily Owen,En LicenCIA
5,Sarah,Johnson,1970-09-21,Masculino,"1188 Calderon Track Apt. 536
Grahammouth, MH 72527",635.845.8602x019,mistywhitehead@example.org,Neurosurgeon,lOGíStICA,2022-05-20,TEmpOral,NoCTUrno,Brandon Rodriguez,ACtIvo
6,Monique,Gibson,1999-04-30,Masculino,"595 Jennifer Land Apt. 687
North Emilymouth, OK 47701",8794980533,melanie67@example.net,Geochemist,maNTENIMIENtO,2016-09-09,pErMANeNTe,ROTAtIvo,Jose Shaffer,retIraDo
7,Stephanie,Espinoza,2004-08-22,Femenino,"85305 John Villages Apt. 103
Martinezville, NY 33150",8595729220,hurstdeborah@example.org,"Administrator, sports",loGÍsticA,2015-09-19,TempoRAl,NOctURnO,John Turner,ActiVO
8,Jessica,Smith,1992-12-02,Femenino,"Unit 3540 Box 1738
DPO AP 47930",5673623033,ibrady@example.org,Insurance underwriter,LoGístIcA,2023-12-18,pERmAnenTE,DIURNo,Tiffany Perez,en licEnCIA
9,Ronald,Brown,1971-08-04,Masculino,"10028 Powell Drive Apt. 351
Howardmouth, KS 68592",318-758-0471x46376,fjordan@example.org,Magazine journalist,lOGíStIcA,2020-04-10,pERMaNentE,DiuRno,Katrina Smith,eN LiceNcIA
10,Andrea,Flores,1964-01-01,Femenino,"4738 Shawn Lights Apt. 955
South Justin, GA 56884",8668636962,glambert@example.net,Scientific laboratory technician,MANtEnimIENto,2017-04-05,pErmaNentE,nocTUrNO,Carlos Lin,EN lIceNcia
